iter	Logloss
0	0.6846610515
1	0.6760420294
2	0.6679112178
3	0.6598659637
4	0.6518925339
5	0.6440927953
6	0.6365741355
7	0.6294018382
8	0.6222221021
9	0.6153114
10	0.6086625134
11	0.6022709592
12	0.5957603338
13	0.5894487164
14	0.5834433928
15	0.5774257944
16	0.5716615933
17	0.5660710467
18	0.5606095221
19	0.5551596881
20	0.5498557608
21	0.5448003725
22	0.5399258878
23	0.5349785811
24	0.5302095192
25	0.5255616173
26	0.5209916931
27	0.5166798984
28	0.5124511217
29	0.5082105725
30	0.5040991255
31	0.5000821333
32	0.4962005935
33	0.4923776824
34	0.4886655327
35	0.4851302597
36	0.4816997551
37	0.4782865857
38	0.4749504269
39	0.4716988127
40	0.4685132721
41	0.4654715111
42	0.4626195851
43	0.4597218598
44	0.4568917555
45	0.4541210725
46	0.451479298
47	0.4488355701
48	0.4462946786
49	0.4437691003
50	0.441254969
51	0.4388629991
52	0.4365225307
53	0.4341923785
54	0.4319073406
55	0.4298416406
56	0.4277359171
57	0.4256606303
58	0.4236392349
59	0.4216216158
60	0.4197001454
61	0.4178289162
62	0.4160288749
63	0.4141605121
64	0.4123401855
65	0.4105812188
66	0.4089240875
67	0.4072946274
68	0.4056825799
69	0.4041020638
70	0.4025662116
71	0.4010828865
72	0.3996245409
73	0.3981877839
74	0.3967641387
75	0.3953852701
76	0.3940518067
77	0.3927079343
78	0.3914267654
79	0.3902296765
80	0.3890117514
81	0.3878185445
82	0.3866723972
83	0.3856820662
84	0.3845254318
85	0.3834178192
86	0.3823376465
87	0.3812635459
88	0.3801814449
89	0.3792113452
90	0.3782104782
91	0.3772061714
92	0.3762242338
93	0.3752787156
94	0.3743606664
95	0.3734564091
96	0.372548173
97	0.3717100712
98	0.3708531545
99	0.3700276218
100	0.3692400169
101	0.3684904359
102	0.3677498789
103	0.3670018703
104	0.3663171767
105	0.3655786313
106	0.364845414
107	0.3641441182
108	0.3634536572
109	0.3627594048
110	0.3620689175
111	0.3614006808
112	0.3607427273
113	0.3601318696
114	0.3595472774
115	0.3589606213
116	0.3584649333
117	0.3578574859
118	0.3572993039
119	0.3567157356
120	0.3561584211
121	0.3556478593
122	0.3551175674
123	0.3545964224
124	0.3541117205
125	0.3536269058
126	0.3531261929
127	0.3526625893
128	0.3522648609
129	0.3517952323
130	0.3514339221
131	0.3509757622
132	0.3505595661
133	0.3501519369
134	0.3497490071
135	0.3493815344
136	0.3489926272
137	0.3485916618
138	0.3482351328
139	0.3478566633
140	0.3474913147
141	0.3471371668
142	0.3467454534
143	0.3464255462
144	0.3460604852
145	0.345778484
146	0.3454679843
147	0.3451560256
148	0.3448380559
149	0.3445377012
150	0.3442248864
151	0.3439809693
152	0.3436800248
153	0.3434124854
154	0.3430943048
155	0.3427708877
156	0.3425083772
157	0.3422443146
158	0.3419616502
159	0.341759735
160	0.3414712128
161	0.341227785
162	0.3409413116
163	0.340673887
164	0.3404234644
165	0.3402039282
166	0.3399389994
167	0.3397378034
168	0.3394954805
169	0.3392593594
170	0.3389964005
171	0.3387487297
172	0.3385081829
173	0.3382761031
174	0.3381255917
175	0.3379062963
176	0.3377205351
177	0.3375668645
178	0.3373639432
179	0.3371864388
180	0.3369679243
181	0.3367739481
182	0.3365928027
183	0.3364014832
184	0.336231338
185	0.3360483852
186	0.3358585806
187	0.3357047313
188	0.3355056444
189	0.3353585706
190	0.3352111758
191	0.3350254387
192	0.3348826841
193	0.3347185464
194	0.3345805603
195	0.3344540113
196	0.3342755744
197	0.334119968
198	0.3339768222
199	0.3338107446
200	0.3336402116
201	0.3334729708
202	0.333328704
203	0.3331847556
204	0.3330459374
205	0.3328908873
206	0.3327744704
207	0.3326776528
208	0.3325758119
209	0.3324506683
210	0.3323330062
211	0.3321946094
212	0.3320892281
213	0.3319558287
214	0.3318097601
215	0.3316910411
216	0.331595162
217	0.3315040812
218	0.3313948465
219	0.3312557045
220	0.3311188163
221	0.3309938756
222	0.3308776933
223	0.3307518777
224	0.3306456703
225	0.3305305935
226	0.3304528234
227	0.3303407428
228	0.3302633685
229	0.3301481015
230	0.3300429627
231	0.3299470364
232	0.3298690651
233	0.3297598252
234	0.3296736969
235	0.3295678991
236	0.3294962376
237	0.32942001
238	0.3293439917
239	0.3292402304
240	0.3291615434
241	0.3290882777
242	0.3289915751
243	0.3288981995
244	0.3288222358
245	0.3287302637
246	0.3286560446
247	0.3285630429
248	0.3284950339
249	0.3284334118
250	0.3283546808
251	0.3282771447
252	0.3282014336
253	0.328133695
254	0.328066013
255	0.3279983984
256	0.3279388077
257	0.3278713085
258	0.3277975941
259	0.3277452373
260	0.327674188
261	0.3275914312
262	0.3275202964
263	0.3274516001
264	0.3274030669
265	0.3273381043
266	0.327264193
267	0.3272030013
268	0.3271493911
269	0.3270942646
270	0.3270330483
271	0.3269881864
272	0.3269187485
273	0.3268646262
274	0.3268193606
275	0.326775601
276	0.3267227659
277	0.3266507816
278	0.3265982291
279	0.3265336982
280	0.3264896714
281	0.3264295727
282	0.326368127
283	0.3263111833
284	0.32625836
285	0.3262087255
286	0.3261646599
287	0.3261202908
288	0.3260600313
289	0.3260196269
290	0.3259700509
291	0.3259279143
292	0.3258673242
293	0.3258082408
294	0.3257566661
295	0.3257108327
296	0.3256705354
297	0.3256215058
298	0.3255759831
299	0.3255262794
300	0.3254791825
301	0.3254269113
302	0.3253772125
303	0.3253244781
304	0.3252655498
305	0.3252097536
306	0.3251641646
307	0.3251379562
308	0.3250931287
309	0.3250499349
310	0.3250096644
311	0.324969413
312	0.324925309
313	0.3248828694
314	0.3248503645
315	0.3248109688
316	0.3247705688
317	0.3247404301
318	0.3246987731
319	0.3246722203
320	0.3246373399
321	0.3246068196
322	0.3245588579
323	0.3245160746
324	0.3244881105
325	0.3244526322
326	0.3244173408
327	0.3243846166
328	0.3243456751
329	0.3243011484
330	0.3242634885
331	0.3242265434
332	0.3241939995
333	0.3241582278
334	0.3241284046
335	0.3240948567
336	0.324060689
337	0.3240332034
338	0.3240054992
339	0.3239663976
340	0.3239433359
341	0.3239172941
342	0.3238909485
343	0.3238538738
344	0.3238205688
345	0.3237949071
346	0.3237655309
347	0.3237315728
348	0.3237033207
349	0.323680157
350	0.323654913
351	0.3236294869
352	0.3236084235
353	0.3235785292
354	0.3235574542
355	0.3235328616
356	0.3235015689
357	0.3234744794
358	0.3234387334
359	0.323409982
360	0.3233849581
361	0.3233558381
362	0.3233300391
363	0.3232999449
364	0.3232740288
365	0.323248391
366	0.3232233291
367	0.3232015261
368	0.3231708683
369	0.3231516435
370	0.3231291687
371	0.3231001451
372	0.3230661474
373	0.3230402886
374	0.3230143446
375	0.3229867361
376	0.3229593598
377	0.3229278019
378	0.3229002556
379	0.3228733933
380	0.3228601679
381	0.3228367787
382	0.322814058
383	0.3227918246
384	0.3227731304
385	0.3227486701
386	0.3227215091
387	0.3226986374
388	0.3226767482
389	0.3226551593
390	0.3226362915
391	0.3226169873
392	0.3225885999
393	0.3225649293
394	0.3225457734
395	0.3225221229
396	0.3225013221
397	0.3224805886
398	0.3224575793
399	0.322437759
400	0.3224233218
401	0.3224025296
402	0.3223868591
403	0.3223654814
404	0.3223465665
405	0.3223296843
406	0.3223104268
407	0.3222879314
408	0.3222607519
409	0.3222414742
410	0.3222181711
411	0.322205368
412	0.3221860207
413	0.3221725951
414	0.322159338
415	0.3221383545
416	0.3221172153
417	0.3220952425
418	0.3220750969
419	0.3220632304
420	0.3220459073
421	0.3220264191
422	0.3220113638
423	0.3219892257
424	0.3219703843
425	0.3219473164
426	0.3219283964
427	0.3219120198
428	0.321900352
429	0.3218881376
430	0.3218674624
431	0.3218494718
432	0.3218339576
433	0.321819192
434	0.3217987755
435	0.3217756997
436	0.3217634407
437	0.3217444577
438	0.3217302392
439	0.3217121009
440	0.3216979181
441	0.3216843718
