iter	Passed	Remaining
0	156	31210
1	175	17406
2	193	12722
3	211	10379
4	229	8947
5	246	7974
6	264	7289
7	281	6758
8	300	6378
9	317	6026
10	334	5742
11	351	5506
12	369	5321
13	387	5153
14	402	4968
15	420	4831
16	437	4704
17	453	4584
18	470	4480
19	486	4375
20	506	4315
21	524	4245
22	543	4183
23	562	4128
24	581	4072
25	601	4025
26	618	3961
27	635	3904
28	653	3851
29	671	3805
30	686	3744
31	704	3697
32	719	3640
33	734	3584
34	751	3544
35	769	3507
36	785	3461
37	800	3413
38	817	3374
39	835	3343
40	854	3314
41	873	3286
42	890	3252
43	909	3223
44	926	3190
45	944	3161
46	961	3131
47	978	3097
48	994	3063
49	1009	3028
50	1024	2992
51	1040	2960
52	1057	2933
53	1075	2907
54	1092	2880
55	1110	2855
56	1125	2824
57	1144	2800
58	1160	2773
59	1177	2747
60	1194	2722
61	1210	2693
62	1227	2668
63	1241	2637
64	1255	2608
65	1273	2584
66	1290	2562
67	1308	2540
68	1325	2516
69	1341	2490
70	1356	2464
71	1372	2440
72	1390	2418
73	1404	2392
74	1419	2365
75	1435	2341
76	1451	2319
77	1467	2295
78	1483	2272
79	1499	2249
80	1514	2224
81	1531	2203
82	1547	2181
83	1566	2163
84	1585	2145
85	1602	2124
86	1619	2103
87	1638	2084
88	1656	2066
89	1673	2044
90	1689	2024
91	1706	2003
92	1722	1981
93	1739	1961
94	1755	1940
95	1785	1934
96	1803	1914
97	1817	1892
98	1834	1871
99	1848	1848
100	1863	1826
101	1881	1807
102	1896	1786
103	1911	1764
104	1930	1747
105	1949	1728
106	1969	1711
107	1987	1693
108	2007	1676
109	2025	1657
110	2041	1636
111	2058	1617
112	2073	1596
113	2092	1578
114	2109	1559
115	2125	1539
116	2142	1520
117	2159	1500
118	2174	1480
119	2189	1459
120	2204	1439
121	2220	1419
122	2237	1400
123	2253	1381
124	2271	1362
125	2288	1343
126	2303	1323
127	2319	1304
128	2337	1286
129	2352	1266
130	2367	1247
131	2385	1229
132	2401	1209
133	2417	1190
134	2448	1178
135	2463	1159
136	2479	1140
137	2495	1121
138	2512	1102
139	2529	1084
140	2548	1066
141	2564	1047
142	2581	1029
143	2599	1010
144	2614	991
145	2631	973
146	2649	955
147	2664	936
148	2681	917
149	2697	899
150	2714	880
151	2730	862
152	2743	842
153	2759	824
154	2775	805
155	2791	787
156	2805	768
157	2821	750
158	2838	731
159	2852	713
160	2868	694
161	2886	677
162	2900	658
163	2914	639
164	2928	621
165	2943	602
166	2957	584
167	2973	566
168	2991	548
169	3007	530
170	3024	512
171	3041	495
172	3059	477
173	3077	459
174	3094	442
175	3113	424
176	3129	406
177	3143	388
178	3161	370
179	3178	353
180	3197	335
181	3211	317
182	3228	299
183	3244	282
184	3260	264
185	3277	246
186	3292	228
187	3308	211
188	3324	193
189	3338	175
190	3354	158
191	3370	140
192	3387	122
193	3402	105
194	3417	87
195	3447	70
196	3463	52
197	3478	35
198	3495	17
199	3512	0
